#epoch, step, actionA, actionB, reward_n, game_dif_score, playerA_score, playerB_score, epsilon
335,600096,2,26,0,-1,8,9,0.731564649976
336,601882,5,18,0,-3,1,4,0.730760949976
337,603668,1,18,0,3,7,4,0.729957249976
338,605454,0,18,0,0,0,0,0.729153549976
339,607240,9,18,0,4,9,5,0.728349849975
340,609026,13,29,0,-6,2,8,0.727546149975
341,610812,12,28,0,-6,6,12,0.726742449975
342,612598,0,18,0,1,20,19,0.725938749975
343,614384,8,23,0,-1,4,5,0.725135049975
344,616170,0,30,0,2,9,7,0.724331349975
345,617956,5,24,0,-11,6,17,0.723527649975
346,619742,11,32,0,6,16,10,0.722723949975
347,621528,0,18,0,1,7,6,0.721920249975
348,623314,6,22,0,1,9,8,0.721116549975
349,625100,0,31,0,0,7,7,0.720312849975
350,626886,0,32,0,-5,8,13,0.719509149975
351,628672,4,18,0,-2,4,6,0.718705449975
352,630458,5,22,0,2,3,1,0.717901749974
353,632244,3,31,0,9,16,7,0.717098049974
354,634030,4,18,0,4,14,10,0.716294349974
355,635816,16,25,0,5,7,2,0.715490649974
356,637602,1,35,0,5,13,8,0.714686949974
357,639388,14,26,0,5,10,5,0.713883249974
358,641174,4,31,0,5,13,8,0.713079549974
359,642960,0,18,0,0,9,9,0.712275849974
360,644746,16,26,0,1,6,5,0.711472149974
361,646532,0,34,0,-2,9,11,0.710668449974
362,648318,4,34,0,3,9,6,0.709864749974
363,650104,0,32,0,-3,0,3,0.709061049974
364,651890,0,22,0,-5,9,14,0.708257349974
365,653676,0,27,0,-1,3,4,0.707453649974
366,655462,0,18,0,-2,9,11,0.706649949973
367,657248,2,31,0,-2,3,5,0.705846249973
368,659034,0,18,0,5,10,5,0.705042549973
369,660820,0,18,0,-4,7,11,0.704238849973
370,662606,17,33,0,1,6,5,0.703435149973
371,664392,1,24,0,6,12,6,0.702631449973
372,666178,15,18,0,-2,4,6,0.701827749973
373,667964,0,18,0,6,12,6,0.701024049973
374,669750,0,18,0,-3,9,12,0.700220349973
375,671536,12,24,0,4,7,3,0.699416649973
376,673322,13,18,0,-3,0,3,0.698612949973
377,675108,2,30,0,-3,7,10,0.697809249973
378,676894,4,30,0,0,10,10,0.697005549973
379,678680,0,19,0,-4,6,10,0.696201849973
380,680466,0,18,0,1,6,5,0.695398149972
381,682252,17,18,0,-3,6,9,0.694594449972
382,684038,0,23,0,1,1,0,0.693790749972
383,685824,1,18,0,4,9,5,0.692987049972
384,687610,0,26,0,3,12,9,0.692183349972
385,689396,0,18,0,1,6,5,0.691379649972
386,691182,14,29,0,8,14,6,0.690575949972
387,692968,8,18,0,4,8,4,0.689772249972
388,694754,2,18,0,2,4,2,0.688968549972
389,696540,0,25,0,-2,9,11,0.688164849972
390,698326,14,18,0,-3,7,10,0.687361149972
391,700112,0,21,0,-2,9,11,0.686557449972
392,701898,0,18,0,6,11,5,0.685753749972
393,703684,17,32,0,2,13,11,0.684950049972
394,705470,4,18,0,-1,3,4,0.684146349971
395,707256,0,18,0,-3,4,7,0.683342649971
396,709042,6,33,0,-1,1,2,0.682538949971
397,710828,9,24,0,0,14,14,0.681735249971
398,712614,8,18,0,-5,8,13,0.680931549971
399,714400,0,18,0,3,14,11,0.680127849971
400,716186,17,18,0,-2,3,5,0.679324149971
401,717972,13,19,0,-1,16,17,0.678520449971
402,719758,0,18,0,-2,5,7,0.677716749971
403,721544,0,18,0,-1,12,13,0.676913049971
404,723330,0,31,0,0,5,5,0.676109349971
405,725116,0,18,0,-8,2,10,0.675305649971
406,726902,0,18,0,-6,8,14,0.674501949971
407,728688,14,18,0,-5,2,7,0.67369824997
408,730474,0,30,0,-3,6,9,0.67289454997
409,732260,15,18,0,-5,8,13,0.67209084997
410,734046,7,18,0,-1,9,10,0.67128714997
411,735832,16,32,0,0,5,5,0.67048344997
412,737618,9,19,0,-3,15,18,0.66967974997
413,739404,3,18,0,1,8,7,0.66887604997
414,741190,0,18,0,10,17,7,0.66807234997
415,742976,0,34,0,0,2,2,0.66726864997
416,744762,0,18,0,-1,9,10,0.66646494997
417,746548,0,18,0,10,15,5,0.66566124997
418,748334,14,18,0,-2,3,5,0.66485754997
419,750120,15,18,0,4,13,9,0.66405384997
420,751906,1,25,0,4,8,4,0.66325014997
421,753692,0,18,0,-1,6,7,0.662446449969
422,755478,0,24,0,7,9,2,0.661642749969
423,757264,6,18,0,-2,2,4,0.660839049969
424,759050,0,18,0,0,16,16,0.660035349969
425,760836,4,18,0,-4,7,11,0.659231649969
426,762622,6,24,0,11,18,7,0.658427949969
427,764408,1,18,0,8,14,6,0.657624249969
428,766194,16,35,0,-2,2,4,0.656820549969
429,767980,0,21,0,-4,2,6,0.656016849969
430,769766,0,18,0,6,9,3,0.655213149969
431,771552,11,29,0,5,8,3,0.654409449969
432,773338,15,20,0,-4,5,9,0.653605749969
433,775124,12,18,0,-9,7,16,0.652802049969
434,776910,7,18,0,11,15,4,0.651998349969
435,778696,15,18,0,1,4,3,0.651194649968
436,780482,12,34,0,-2,4,6,0.650390949968
437,782268,1,18,0,6,17,11,0.649587249968
438,784054,0,18,0,2,2,0,0.648783549968
439,785840,10,27,0,2,15,13,0.647979849968
440,787626,7,21,0,-1,21,22,0.647176149968
441,789412,5,18,0,1,7,6,0.646372449968
442,791198,12,18,0,21,36,15,0.645568749968
443,792984,0,18,0,4,9,5,0.644765049968
444,794770,0,28,0,5,10,5,0.643961349968
445,796556,14,30,0,4,9,5,0.643157649968
446,798342,3,18,0,1,8,7,0.642353949968
447,800128,9,18,0,-13,5,18,0.641550249968
448,801914,0,35,0,3,13,10,0.640746549968
449,803700,15,35,0,18,27,9,0.639942849967
450,805486,1,22,0,5,9,4,0.639139149967
451,807272,0,32,0,3,8,5,0.638335449967
